movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in_$),path
tt0066773 ,Die Angst des Tormanns beim Elfmeter             ,1972,         ,101 min,"Drama, Sport                ",6.6,Goalkeeper Josef Bloch is ejected during a game for foul play. He leaves the field and goes to spend the night with a cinema cashier.                                                                                                                                                                       ,Wim Wenders                            ,/name/nm0000694/,"Arthur Brauss, 
Kai Fischer, 
Erika Pluhar, 
Libgart Schwarz                 ","/name/nm0105973/,/name/nm0279007/,/name/nm0687546/,/name/nm0777617/                 ",2039,,D:/demo/output
tt0066798 ,Money Money Money                                ,1972,R        ,113 min,"Adventure, Comedy, Crime    ",6.8,"When they realize the times are changing, five crooks decide to switch from bank robberies to personality abductions. Among their hostages are singer Johnny Hallyday and an ambassador in ...                See full summary »                                                                          ",Claude Lelouch                         ,/name/nm0500988/,"Lino Ventura, 
Jacques Brel, 
Charles Denner, 
Johnny Hallyday               ","/name/nm0893341/,/name/nm0107035/,/name/nm0219342/,/name/nm0002776/                 ",2366,175992,D:/demo/output
tt0066798 ,Money Money Money                                ,1972,R        ,113 min,"Adventure, Comedy, Crime    ",6.8,"When they realize the times are changing, five crooks decide to switch from bank robberies to personality abductions. Among their hostages are singer Johnny Hallyday and an ambassador in ...                See full summary »                                                                          ",Claude Lelouch                         ,/name/nm0500988/,"Lino Ventura, 
Jacques Brel, 
Charles Denner, 
Johnny Hallyday               ","/name/nm0893341/,/name/nm0107035/,/name/nm0219342/,/name/nm0002776/                 ",2366,175992,D:/demo/output
tt0066871 ,Burke & Hare                                     ,1972,R        ,94 min ,"Comedy, Crime, Horror       ",5.3,Two men go into business supplying medical colleges with cadavers by robbing graves.                                                                                                                                                                                                                        ,Vernon Sewell                          ,/name/nm0786607/,"Paul Luty, 
Roy Macready, 
Derren Nesbitt, 
Susan Coates                     ","/name/nm0527533/,/name/nm0534321/,/name/nm0626352/,/name/nm0167669/                 ",519,,D:/demo/output
tt0066871 ,Burke & Hare                                     ,1972,R        ,94 min ,"Comedy, Crime, Horror       ",5.3,Two men go into business supplying medical colleges with cadavers by robbing graves.                                                                                                                                                                                                                        ,Vernon Sewell                          ,/name/nm0786607/,"Paul Luty, 
Roy Macready, 
Derren Nesbitt, 
Susan Coates                     ","/name/nm0527533/,/name/nm0534321/,/name/nm0626352/,/name/nm0167669/                 ",519,,D:/demo/output
tt0066883 ,Les camisards                                    ,1972,         ,100 min,"Drama, History, War         ",7.7,King Louis XIV orders all Protestants to convert to Catholicism.                                                                                                                                                                                                                                            ,René Allio                            ,/name/nm0021392/,"Rufus, 
Jacques Debary, 
Gérard Desarthe, 
Philippe Clévenot               ","/name/nm0749363/,/name/nm0213325/,/name/nm0220908/,/name/nm0167515/                 ",229,,D:/demo/output
tt0066883 ,Les camisards                                    ,1972,         ,100 min,"Drama, History, War         ",7.7,King Louis XIV orders all Protestants to convert to Catholicism.                                                                                                                                                                                                                                            ,René Allio                            ,/name/nm0021392/,"Rufus, 
Jacques Debary, 
Gérard Desarthe, 
Philippe Clévenot               ","/name/nm0749363/,/name/nm0213325/,/name/nm0220908/,/name/nm0167515/                 ",229,,D:/demo/output
tt0066909 ,Chelovek s drugoy storony                        ,1972,         ,97 min ,"Adventure, History          ",6.2,After the Bolshevik seizure of power in 1917. A Russian engineer gets the assignment to purchase locomotives from Sweden. Paid in gold. Claimed by the opponents of the revolution.                                                                                                                         ,Yuri Yegorov                           ,/name/nm0947272/,"Bibi Andersson, 
Vyacheslav Tikhonov, 
Patrick Wymark, 
Valentin Gaft        ","/name/nm0000761/,/name/nm0863146/,/name/nm0943859/,/name/nm0300781/                 ",35,,D:/demo/output
tt0066909 ,Chelovek s drugoy storony                        ,1972,         ,97 min ,"Adventure, History          ",6.2,After the Bolshevik seizure of power in 1917. A Russian engineer gets the assignment to purchase locomotives from Sweden. Paid in gold. Claimed by the opponents of the revolution.                                                                                                                         ,Yuri Yegorov                           ,/name/nm0947272/,"Bibi Andersson, 
Vyacheslav Tikhonov, 
Patrick Wymark, 
Valentin Gaft        ","/name/nm0000761/,/name/nm0863146/,/name/nm0943859/,/name/nm0300781/                 ",35,,D:/demo/output
tt0066916 ,Chyornye sukhari                                 ,1972,         ,86 min ,"Biography, Romance          ",6.8,Add a Plot                                                                                                                                                                                                                                                                                                  ,Gerbert Rappaport                      ,/name/nm0710888/,"Yuriy Kayurov, 
Vladimir Tatosov, 
Natalya Varley, 
Rüdiger Joswig          ","/name/nm0440341/,/name/nm0851287/,/name/nm0890046/,/name/nm0430953/                 ",15,,D:/demo/output
tt0066916 ,Chyornye sukhari                                 ,1972,         ,86 min ,"Biography, Romance          ",6.8,Add a Plot                                                                                                                                                                                                                                                                                                  ,Gerbert Rappaport                      ,/name/nm0710888/,"Yuriy Kayurov, 
Vladimir Tatosov, 
Natalya Varley, 
Rüdiger Joswig          ","/name/nm0440341/,/name/nm0851287/,/name/nm0890046/,/name/nm0430953/                 ",15,,D:/demo/output
tt0066939 ,Cut-Throats Nine                                 ,1972,R        ,90 min ,"Crime, Thriller, Western    ",6.7,"Bandits attack a wagonload of convicts, and only a sergeant, his daughter, and seven sadistic prisoners survive. The sergeant must get his prisoners to their destination while a web of lies, greed, and betrayal unfolds.                                                                                 ",Joaquín Luis Romero Marchent          ,/name/nm0739298/,"Robert Hundar, 
Emma Cohen, 
Alberto Dalbés, 
Antonio Iranzo                ","/name/nm0880949/,/name/nm0169358/,/name/nm0197623/,/name/nm0014763/                 ",1269,,D:/demo/output
tt0066939 ,Cut-Throats Nine                                 ,1972,R        ,90 min ,"Crime, Thriller, Western    ",6.7,"Bandits attack a wagonload of convicts, and only a sergeant, his daughter, and seven sadistic prisoners survive. The sergeant must get his prisoners to their destination while a web of lies, greed, and betrayal unfolds.                                                                                 ",Joaquín Luis Romero Marchent          ,/name/nm0739298/,"Robert Hundar, 
Emma Cohen, 
Alberto Dalbés, 
Antonio Iranzo                ","/name/nm0880949/,/name/nm0169358/,/name/nm0197623/,/name/nm0014763/                 ",1269,,D:/demo/output
tt0066962 ,Cuna de valientes                                ,1972,         ,95 min ,"Drama, Family               ",6.9,Add a Plot                                                                                                                                                                                                                                                                                                  ,Gilberto Martínez Solares             ,/name/nm0554924/,"Valentín Trujillo, 
Enrique Rambal, 
Gregorio Casal, 
René Muñoz          ","/name/nm0874248/,/name/nm0708048/,/name/nm0142780/,/name/nm0616497/                 ",10,,D:/demo/output
tt0066969 ,Dauriya                                          ,1972,         ,182 min,"Adventure, Drama, History   ",6.9,Epic about Cossacks in the Siberian province of Dauria. Cossacks are living in their village like one big family under the guidance of a strong leader - Ataman.                                                                                                                                            ,Viktor Tregubovich                     ,/name/nm0871750/,"Arkadi Trusov, 
Pyotr Shelokhonov, 
Vera Kuznetsova, 
Vitali Solomin         ","/name/nm0874425/,/name/nm0791282/,/name/nm0476880/,/name/nm0813271/                 ",312,,D:/demo/output
